#    L    TT             EE             TE          
   165    0.20053E+03    0.13973E-01   -0.15029E+00
   166    0.20159E+03    0.14366E-01   -0.12354E+00
   167    0.20270E+03    0.14733E-01   -0.92282E-01
   168    0.20385E+03    0.15087E-01   -0.57442E-01
   169    0.20504E+03    0.15439E-01   -0.20031E-01
   170    0.20625E+03    0.15802E-01    0.19080E-01
   171    0.20746E+03    0.16185E-01    0.59125E-01
   172    0.20865E+03    0.16597E-01    0.99597E-01
   173    0.20983E+03    0.17044E-01    0.14018E+00
   174    0.21097E+03    0.17529E-01    0.18078E+00
   175    0.21207E+03    0.18055E-01    0.22148E+00
   176    0.21315E+03    0.18621E-01    0.26241E+00
   177    0.21418E+03    0.19228E-01    0.30381E+00
   178    0.21518E+03    0.19875E-01    0.34589E+00
   179    0.21614E+03    0.20562E-01    0.38892E+00
   180    0.21708E+03    0.21289E-01    0.43308E+00
   181    0.21799E+03    0.22057E-01    0.47852E+00
   182    0.21889E+03    0.22867E-01    0.52528E+00
   183    0.21976E+03    0.23720E-01    0.57336E+00
   184    0.22061E+03    0.24618E-01    0.62266E+00
   185    0.22144E+03    0.25563E-01    0.67311E+00
   186    0.22225E+03    0.26557E-01    0.72459E+00
   187    0.22303E+03    0.27601E-01    0.77702E+00
   188    0.22378E+03    0.28699E-01    0.83029E+00
   189    0.22451E+03    0.29852E-01    0.88434E+00
   190    0.22520E+03    0.31061E-01    0.93906E+00
   191    0.22586E+03    0.32327E-01    0.99449E+00
   192    0.22648E+03    0.33655E-01    0.10506E+01
   193    0.22707E+03    0.35044E-01    0.11076E+01
   194    0.22763E+03    0.36499E-01    0.11655E+01
   195    0.22817E+03    0.38022E-01    0.12245E+01
   196    0.22867E+03    0.39615E-01    0.12846E+01
   197    0.22917E+03    0.41280E-01    0.13461E+01
   198    0.22964E+03    0.43022E-01    0.14088E+01
   199    0.23010E+03    0.44842E-01    0.14729E+01
   200    0.23054E+03    0.46745E-01    0.15383E+01
   201    0.23098E+03    0.48731E-01    0.16050E+01
   202    0.23140E+03    0.50804E-01    0.16729E+01
   203    0.23181E+03    0.52964E-01    0.17415E+01
   204    0.23220E+03    0.55211E-01    0.18110E+01
   205    0.23256E+03    0.57544E-01    0.18807E+01
   206    0.23289E+03    0.59962E-01    0.19507E+01
   207    0.23318E+03    0.62464E-01    0.20204E+01
   208    0.23344E+03    0.65047E-01    0.20899E+01
   209    0.23363E+03    0.67710E-01    0.21587E+01
   210    0.23379E+03    0.70452E-01    0.22269E+01
   211    0.23388E+03    0.73272E-01    0.22942E+01
   212    0.23392E+03    0.76169E-01    0.23607E+01
   213    0.23390E+03    0.79143E-01    0.24263E+01
   214    0.23384E+03    0.82196E-01    0.24912E+01
   215    0.23371E+03    0.85330E-01    0.25553E+01
   216    0.23355E+03    0.88548E-01    0.26189E+01
   217    0.23334E+03    0.91853E-01    0.26821E+01
