#    L    TT             EE             TE          
   227    0.58045E+04    0.10767E+01    0.27213E+02
   228    0.57995E+04    0.11135E+01    0.28900E+02
   229    0.57940E+04    0.11521E+01    0.30593E+02
   230    0.57877E+04    0.11925E+01    0.32290E+02
   231    0.57808E+04    0.12348E+01    0.33992E+02
   232    0.57735E+04    0.12789E+01    0.35698E+02
   233    0.57652E+04    0.13250E+01    0.37406E+02
   234    0.57565E+04    0.13731E+01    0.39117E+02
   235    0.57470E+04    0.14231E+01    0.40829E+02
   236    0.57371E+04    0.14751E+01    0.42542E+02
   237    0.57263E+04    0.15291E+01    0.44254E+02
   238    0.57151E+04    0.15852E+01    0.45966E+02
   239    0.57031E+04    0.16433E+01    0.47675E+02
   240    0.56906E+04    0.17036E+01    0.49384E+02
   241    0.56774E+04    0.17659E+01    0.51088E+02
   242    0.56637E+04    0.18303E+01    0.52789E+02
   243    0.56492E+04    0.18969E+01    0.54485E+02
   244    0.56343E+04    0.19656E+01    0.56177E+02
   245    0.56187E+04    0.20365E+01    0.57861E+02
   246    0.56026E+04    0.21095E+01    0.59540E+02
   247    0.55859E+04    0.21848E+01    0.61210E+02
   248    0.55687E+04    0.22623E+01    0.62873E+02
   249    0.55510E+04    0.23420E+01    0.64528E+02
   250    0.55326E+04    0.24239E+01    0.66171E+02
   251    0.55138E+04    0.25081E+01    0.67806E+02
   252    0.54944E+04    0.25945E+01    0.69427E+02
   253    0.54746E+04    0.26832E+01    0.71040E+02
   254    0.54542E+04    0.27741E+01    0.72637E+02
   255    0.54334E+04    0.28673E+01    0.74224E+02
   256    0.54120E+04    0.29627E+01    0.75794E+02
   257    0.53903E+04    0.30605E+01    0.77353E+02
   258    0.53680E+04    0.31605E+01    0.78894E+02
   259    0.53453E+04    0.32628E+01    0.80421E+02
   260    0.53221E+04    0.33673E+01    0.81929E+02
   261    0.52985E+04    0.34741E+01    0.83422E+02
   262    0.52744E+04    0.35831E+01    0.84895E+02
   263    0.52499E+04    0.36945E+01    0.86351E+02
   264    0.52249E+04    0.38080E+01    0.87785E+02
   265    0.51996E+04    0.39239E+01    0.89201E+02
   266    0.51737E+04    0.40419E+01    0.90595E+02
   267    0.51475E+04    0.41621E+01    0.91968E+02
   268    0.51210E+04    0.42847E+01    0.93321E+02
   269    0.50938E+04    0.44093E+01    0.94646E+02
   270    0.50664E+04    0.45361E+01    0.95952E+02
   271    0.50385E+04    0.46651E+01    0.97230E+02
   272    0.50103E+04    0.47963E+01    0.98487E+02
   273    0.49817E+04    0.49295E+01    0.99715E+02
   274    0.49528E+04    0.50649E+01    0.10092E+03
   275    0.49234E+04    0.52023E+01    0.10210E+03
   276    0.48938E+04    0.53418E+01    0.10325E+03
   277    0.48638E+04    0.54834E+01    0.10437E+03
   278    0.48336E+04    0.56270E+01    0.10546E+03
   279    0.48029E+04    0.57725E+01    0.10653E+03
   280    0.47721E+04    0.59200E+01    0.10756E+03
   281    0.47409E+04    0.60694E+01    0.10857E+03
   282    0.47095E+04    0.62207E+01    0.10955E+03
   283    0.46778E+04    0.63739E+01    0.11049E+03
   284    0.46459E+04    0.65289E+01    0.11141E+03
   285    0.46138E+04    0.66859E+01    0.11229E+03
   286    0.45813E+04    0.68443E+01    0.11314E+03
   287    0.45487E+04    0.70047E+01    0.11396E+03
   288    0.45158E+04    0.71666E+01    0.11475E+03
   289    0.44829E+04    0.73303E+01    0.11550E+03
   290    0.44496E+04    0.74955E+01    0.11622E+03
   291    0.44163E+04    0.76624E+01    0.11691E+03
   292    0.43828E+04    0.78306E+01    0.11755E+03
   293    0.43492E+04    0.80005E+01    0.11817E+03
   294    0.43153E+04    0.81716E+01    0.11875E+03
   295    0.42815E+04    0.83443E+01    0.11930E+03
   296    0.42474E+04    0.85182E+01    0.11981E+03
   297    0.42133E+04    0.86935E+01    0.12028E+03
   298    0.41790E+04    0.88698E+01    0.12072E+03
   299    0.41448E+04    0.90476E+01    0.12113E+03
   300    0.41104E+04    0.92263E+01    0.12149E+03
   301    0.40759E+04    0.94062E+01    0.12182E+03
   302    0.40414E+04    0.95870E+01    0.12211E+03
   303    0.40069E+04    0.97689E+01    0.12236E+03
   304    0.39723E+04    0.99516E+01    0.12258E+03
   305    0.39377E+04    0.10135E+02    0.12276E+03
   306    0.39031E+04    0.10320E+02    0.12290E+03
   307    0.38683E+04    0.10505E+02    0.12300E+03
   308    0.38337E+04    0.10691E+02    0.12307E+03
   309    0.37990E+04    0.10877E+02    0.12309E+03
   310    0.37644E+04    0.11064E+02    0.12308E+03
   311    0.37297E+04    0.11251E+02    0.12302E+03
   312    0.36951E+04    0.11440E+02    0.12293E+03
   313    0.36605E+04    0.11628E+02    0.12280E+03
   314    0.36260E+04    0.11816E+02    0.12263E+03
   315    0.35915E+04    0.12005E+02    0.12242E+03
   316    0.35572E+04    0.12194E+02    0.12218E+03
   317    0.35229E+04    0.12383E+02    0.12189E+03
   318    0.34887E+04    0.12572E+02    0.12157E+03
   319    0.34546E+04    0.12761E+02    0.12120E+03
   320    0.34207E+04    0.12950E+02    0.12080E+03
   321    0.33868E+04    0.13139E+02    0.12036E+03
   322    0.33531E+04    0.13327E+02    0.11989E+03
   323    0.33196E+04    0.13515E+02    0.11937E+03
   324    0.32862E+04    0.13703E+02    0.11882E+03
   325    0.32530E+04    0.13891E+02    0.11823E+03
   326    0.32199E+04    0.14078E+02    0.11760E+03
   327    0.31871E+04    0.14264E+02    0.11694E+03
   328    0.31544E+04    0.14449E+02    0.11623E+03
   329    0.31220E+04    0.14635E+02    0.11549E+03
   330    0.30898E+04    0.14818E+02    0.11471E+03
   331    0.30578E+04    0.15002E+02    0.11391E+03
   332    0.30260E+04    0.15184E+02    0.11305E+03
   333    0.29945E+04    0.15365E+02    0.11217E+03
   334    0.29632E+04    0.15545E+02    0.11125E+03
   335    0.29322E+04    0.15724E+02    0.11030E+03
   336    0.29014E+04    0.15902E+02    0.10931E+03
   337    0.28710E+04    0.16078E+02    0.10829E+03
   338    0.28407E+04    0.16253E+02    0.10723E+03
   339    0.28108E+04    0.16427E+02    0.10615E+03
   340    0.27812E+04    0.16599E+02    0.10502E+03
   341    0.27519E+04    0.16769E+02    0.10387E+03
   342    0.27229E+04    0.16938E+02    0.10268E+03
   343    0.26942E+04    0.17105E+02    0.10146E+03
   344    0.26658E+04    0.17270E+02    0.10021E+03
   345    0.26378E+04    0.17433E+02    0.98932E+02
   346    0.26101E+04    0.17595E+02    0.97624E+02
   347    0.25827E+04    0.17754E+02    0.96280E+02
   348    0.25557E+04    0.17912E+02    0.94913E+02
   349    0.25290E+04    0.18067E+02    0.93511E+02
   350    0.25027E+04    0.18220E+02    0.92087E+02
   351    0.24767E+04    0.18370E+02    0.90630E+02
   352    0.24512E+04    0.18519E+02    0.89151E+02
   353    0.24260E+04    0.18664E+02    0.87641E+02
   354    0.24012E+04    0.18808E+02    0.86110E+02
   355    0.23767E+04    0.18949E+02    0.84549E+02
   356    0.23527E+04    0.19087E+02    0.82968E+02
   357    0.23290E+04    0.19223E+02    0.81359E+02
   358    0.23058E+04    0.19356E+02    0.79731E+02
   359    0.22829E+04    0.19486E+02    0.78076E+02
   360    0.22605E+04    0.19613E+02    0.76404E+02
   361    0.22385E+04    0.19737E+02    0.74706E+02
   362    0.22169E+04    0.19859E+02    0.72991E+02
   363    0.21957E+04    0.19977E+02    0.71253E+02
   364    0.21749E+04    0.20093E+02    0.69499E+02
   365    0.21546E+04    0.20205E+02    0.67724E+02
   366    0.21347E+04    0.20314E+02    0.65934E+02
   367    0.21152E+04    0.20420E+02    0.64128E+02
   368    0.20961E+04    0.20522E+02    0.62301E+02
   369    0.20775E+04    0.20622E+02    0.60463E+02
   370    0.20593E+04    0.20717E+02    0.58606E+02
   371    0.20416E+04    0.20810E+02    0.56739E+02
   372    0.20243E+04    0.20899E+02    0.54854E+02
   373    0.20075E+04    0.20985E+02    0.52962E+02
   374    0.19911E+04    0.21066E+02    0.51053E+02
   375    0.19751E+04    0.21145E+02    0.49138E+02
   376    0.19596E+04    0.21220E+02    0.47208E+02
   377    0.19446E+04    0.21291E+02    0.45273E+02
   378    0.19300E+04    0.21358E+02    0.43326E+02
   379    0.19158E+04    0.21422E+02    0.41375E+02
   380    0.19021E+04    0.21482E+02    0.39412E+02
   381    0.18889E+04    0.21538E+02    0.37448E+02
   382    0.18761E+04    0.21591E+02    0.35474E+02
   383    0.18637E+04    0.21639E+02    0.33499E+02
   384    0.18518E+04    0.21684E+02    0.31517E+02
   385    0.18404E+04    0.21725E+02    0.29535E+02
   386    0.18294E+04    0.21761E+02    0.27548E+02
   387    0.18188E+04    0.21795E+02    0.25563E+02
   388    0.18087E+04    0.21824E+02    0.23574E+02
   389    0.17991E+04    0.21849E+02    0.21588E+02
   390    0.17899E+04    0.21870E+02    0.19603E+02
   391    0.17811E+04    0.21887E+02    0.17617E+02
   392    0.17728E+04    0.21901E+02    0.15636E+02
   393    0.17649E+04    0.21909E+02    0.13656E+02
   394    0.17575E+04    0.21915E+02    0.11683E+02
   395    0.17504E+04    0.21915E+02    0.97129E+01
   396    0.17439E+04    0.21913E+02    0.77508E+01
   397    0.17377E+04    0.21905E+02    0.57929E+01
   398    0.17320E+04    0.21895E+02    0.38446E+01
   399    0.17267E+04    0.21879E+02    0.19025E+01
   400    0.17219E+04    0.21861E+02   -0.28728E-01
   401    0.17174E+04    0.21837E+02   -0.19521E+01
   402    0.17134E+04    0.21811E+02   -0.38632E+01
   403    0.17098E+04    0.21779E+02   -0.57647E+01
   404    0.17066E+04    0.21744E+02   -0.76526E+01
   405    0.17038E+04    0.21705E+02   -0.95292E+01
   406    0.17014E+04    0.21663E+02   -0.11391E+02
   407    0.16994E+04    0.21615E+02   -0.13240E+02
   408    0.16978E+04    0.21565E+02   -0.15072E+02
   409    0.16966E+04    0.21510E+02   -0.16890E+02
   410    0.16958E+04    0.21452E+02   -0.18691E+02
   411    0.16953E+04    0.21389E+02   -0.20475E+02
   412    0.16953E+04    0.21323E+02   -0.22241E+02
   413    0.16956E+04    0.21253E+02   -0.23989E+02
   414    0.16962E+04    0.21179E+02   -0.25717E+02
   415    0.16973E+04    0.21102E+02   -0.27426E+02
   416    0.16987E+04    0.21021E+02   -0.29114E+02
   417    0.17004E+04    0.20936E+02   -0.30781E+02
   418    0.17025E+04    0.20848E+02   -0.32427E+02
   419    0.17049E+04    0.20756E+02   -0.34049E+02
   420    0.17077E+04    0.20660E+02   -0.35649E+02
   421    0.17108E+04    0.20562E+02   -0.37225E+02
   422    0.17142E+04    0.20459E+02   -0.38778E+02
   423    0.17179E+04    0.20354E+02   -0.40305E+02
   424    0.17220E+04    0.20244E+02   -0.41806E+02
   425    0.17263E+04    0.20132E+02   -0.43282E+02
   426    0.17310E+04    0.20017E+02   -0.44732E+02
   427    0.17360E+04    0.19898E+02   -0.46154E+02
   428    0.17412E+04    0.19776E+02   -0.47549E+02
   429    0.17467E+04    0.19652E+02   -0.48916E+02
   430    0.17525E+04    0.19523E+02   -0.50254E+02
   431    0.17586E+04    0.19393E+02   -0.51563E+02
   432    0.17649E+04    0.19259E+02   -0.52843E+02
   433    0.17715E+04    0.19123E+02   -0.54093E+02
   434    0.17783E+04    0.18984E+02   -0.55313E+02
   435    0.17854E+04    0.18842E+02   -0.56502E+02
   436    0.17927E+04    0.18698E+02   -0.57659E+02
   437    0.18002E+04    0.18551E+02   -0.58785E+02
   438    0.18080E+04    0.18402E+02   -0.59879E+02
   439    0.18159E+04    0.18250E+02   -0.60942E+02
   440    0.18241E+04    0.18097E+02   -0.61972E+02
   441    0.18325E+04    0.17940E+02   -0.62967E+02
   442    0.18411E+04    0.17782E+02   -0.63931E+02
   443    0.18498E+04    0.17622E+02   -0.64859E+02
   444    0.18588E+04    0.17460E+02   -0.65756E+02
   445    0.18679E+04    0.17295E+02   -0.66616E+02
   446    0.18772E+04    0.17130E+02   -0.67444E+02
   447    0.18866E+04    0.16962E+02   -0.68236E+02
   448    0.18962E+04    0.16793E+02   -0.68994E+02
   449    0.19059E+04    0.16622E+02   -0.69716E+02
   450    0.19158E+04    0.16450E+02   -0.70405E+02
   451    0.19258E+04    0.16276E+02   -0.71056E+02
   452    0.19359E+04    0.16102E+02   -0.71673E+02
   453    0.19461E+04    0.15925E+02   -0.72253E+02
   454    0.19565E+04    0.15749E+02   -0.72799E+02
   455    0.19669E+04    0.15570E+02   -0.73308E+02
   456    0.19775E+04    0.15392E+02   -0.73782E+02
   457    0.19881E+04    0.15212E+02   -0.74218E+02
   458    0.19988E+04    0.15031E+02   -0.74620E+02
   459    0.20095E+04    0.14850E+02   -0.74985E+02
   460    0.20204E+04    0.14669E+02   -0.75315E+02
   461    0.20313E+04    0.14487E+02   -0.75607E+02
   462    0.20422E+04    0.14305E+02   -0.75865E+02
   463    0.20532E+04    0.14122E+02   -0.76085E+02
   464    0.20642E+04    0.13940E+02   -0.76270E+02
   465    0.20753E+04    0.13757E+02   -0.76421E+02
   466    0.20864E+04    0.13575E+02   -0.76532E+02
   467    0.20975E+04    0.13393E+02   -0.76611E+02
   468    0.21085E+04    0.13211E+02   -0.76652E+02
   469    0.21197E+04    0.13029E+02   -0.76660E+02
   470    0.21307E+04    0.12848E+02   -0.76629E+02
   471    0.21418E+04    0.12668E+02   -0.76567E+02
   472    0.21529E+04    0.12488E+02   -0.76467E+02
   473    0.21639E+04    0.12309E+02   -0.76334E+02
   474    0.21749E+04    0.12131E+02   -0.76165E+02
   475    0.21859E+04    0.11954E+02   -0.75964E+02
   476    0.21968E+04    0.11778E+02   -0.75726E+02
   477    0.22077E+04    0.11603E+02   -0.75457E+02
   478    0.22186E+04    0.11430E+02   -0.75153E+02
   479    0.22293E+04    0.11258E+02   -0.74817E+02
   480    0.22400E+04    0.11087E+02   -0.74447E+02
   481    0.22506E+04    0.10918E+02   -0.74046E+02
   482    0.22612E+04    0.10751E+02   -0.73610E+02
   483    0.22716E+04    0.10586E+02   -0.73145E+02
   484    0.22820E+04    0.10422E+02   -0.72647E+02
   485    0.22922E+04    0.10261E+02   -0.72120E+02
   486    0.23024E+04    0.10102E+02   -0.71560E+02
   487    0.23124E+04    0.99445E+01   -0.70972E+02
   488    0.23224E+04    0.97895E+01   -0.70352E+02
   489    0.23322E+04    0.96372E+01   -0.69704E+02
   490    0.23419E+04    0.94871E+01   -0.69026E+02
   491    0.23514E+04    0.93399E+01   -0.68321E+02
   492    0.23609E+04    0.91953E+01   -0.67589E+02
   493    0.23702E+04    0.90532E+01   -0.66827E+02
   494    0.23793E+04    0.89142E+01   -0.66041E+02
   495    0.23883E+04    0.87780E+01   -0.65225E+02
   496    0.23972E+04    0.86450E+01   -0.64387E+02
   497    0.24058E+04    0.85149E+01   -0.63520E+02
   498    0.24144E+04    0.83882E+01   -0.62631E+02
   499    0.24227E+04    0.82646E+01   -0.61716E+02
   500    0.24309E+04    0.81446E+01   -0.60779E+02
   501    0.24389E+04    0.80279E+01   -0.59818E+02
   502    0.24467E+04    0.79148E+01   -0.58836E+02
   503    0.24544E+04    0.78053E+01   -0.57830E+02
   504    0.24618E+04    0.76995E+01   -0.56805E+02
