#    L    TT             EE             TE          
   172    0.71198E+03    0.43598E-01    0.50268E-01
   173    0.71244E+03    0.44399E-01    0.20730E+00
   174    0.71277E+03    0.45331E-01    0.36286E+00
   175    0.71293E+03    0.46397E-01    0.51753E+00
   176    0.71296E+03    0.47594E-01    0.67201E+00
   177    0.71284E+03    0.48917E-01    0.82737E+00
   178    0.71261E+03    0.50364E-01    0.98450E+00
   179    0.71225E+03    0.51932E-01    0.11443E+01
   180    0.71182E+03    0.53619E-01    0.13074E+01
   181    0.71129E+03    0.55427E-01    0.14742E+01
   182    0.71072E+03    0.57359E-01    0.16445E+01
   183    0.71007E+03    0.59418E-01    0.18182E+01
   184    0.70936E+03    0.61610E-01    0.19949E+01
   185    0.70855E+03    0.63940E-01    0.21740E+01
   186    0.70769E+03    0.66415E-01    0.23554E+01
   187    0.70674E+03    0.69040E-01    0.25385E+01
   188    0.70568E+03    0.71819E-01    0.27229E+01
   189    0.70454E+03    0.74758E-01    0.29084E+01
   190    0.70327E+03    0.77859E-01    0.30948E+01
   191    0.70192E+03    0.81128E-01    0.32823E+01
   192    0.70043E+03    0.84570E-01    0.34710E+01
   193    0.69887E+03    0.88192E-01    0.36614E+01
   194    0.69721E+03    0.92001E-01    0.38539E+01
   195    0.69550E+03    0.96002E-01    0.40490E+01
   196    0.69372E+03    0.10020E+00    0.42469E+01
   197    0.69192E+03    0.10461E+00    0.44480E+01
   198    0.69006E+03    0.10924E+00    0.46522E+01
   199    0.68821E+03    0.11408E+00    0.48597E+01
   200    0.68631E+03    0.11916E+00    0.50700E+01
   201    0.68442E+03    0.12447E+00    0.52828E+01
   202    0.68250E+03    0.13001E+00    0.54977E+01
   203    0.68052E+03    0.13579E+00    0.57134E+01
   204    0.67852E+03    0.14180E+00    0.59294E+01
   205    0.67641E+03    0.14803E+00    0.61444E+01
   206    0.67422E+03    0.15448E+00    0.63578E+01
   207    0.67190E+03    0.16114E+00    0.65684E+01
   208    0.66946E+03    0.16799E+00    0.67759E+01
   209    0.66685E+03    0.17504E+00    0.69794E+01
   210    0.66410E+03    0.18227E+00    0.71789E+01
   211    0.66117E+03    0.18968E+00    0.73739E+01
   212    0.65810E+03    0.19727E+00    0.75647E+01
   213    0.65486E+03    0.20503E+00    0.77512E+01
   214    0.65148E+03    0.21298E+00    0.79340E+01
   215    0.64796E+03    0.22112E+00    0.81131E+01
   216    0.64433E+03    0.22945E+00    0.82893E+01
   217    0.64061E+03    0.23799E+00    0.84631E+01
   218    0.63677E+03    0.24672E+00    0.86341E+01
   219    0.63289E+03    0.25568E+00    0.88036E+01
   220    0.62891E+03    0.26486E+00    0.89711E+01
   221    0.62491E+03    0.27426E+00    0.91372E+01
   222    0.62085E+03    0.28389E+00    0.93016E+01
   223    0.61676E+03    0.29375E+00    0.94647E+01
   224    0.61261E+03    0.30383E+00    0.96258E+01
   225    0.60845E+03    0.31414E+00    0.97854E+01
   226    0.60423E+03    0.32467E+00    0.99428E+01
   227    0.60000E+03    0.33543E+00    0.10098E+02
   228    0.59572E+03    0.34639E+00    0.10251E+02
   229    0.59141E+03    0.35757E+00    0.10402E+02
   230    0.58706E+03    0.36895E+00    0.10549E+02
   231    0.58268E+03    0.38053E+00    0.10694E+02
   232    0.57827E+03    0.39231E+00    0.10836E+02
   233    0.57379E+03    0.40427E+00    0.10974E+02
   234    0.56930E+03    0.41643E+00    0.11110E+02
   235    0.56474E+03    0.42875E+00    0.11241E+02
   236    0.56017E+03    0.44127E+00    0.11369E+02
   237    0.55554E+03    0.45394E+00    0.11493E+02
   238    0.55089E+03    0.46679E+00    0.11613E+02
   239    0.54618E+03    0.47979E+00    0.11729E+02
   240    0.54145E+03    0.49295E+00    0.11842E+02
   241    0.53665E+03    0.50626E+00    0.11950E+02
   242    0.53184E+03    0.51972E+00    0.12054E+02
   243    0.52697E+03    0.53331E+00    0.12153E+02
   244    0.52208E+03    0.54706E+00    0.12249E+02
   245    0.51714E+03    0.56093E+00    0.12339E+02
   246    0.51219E+03    0.57494E+00    0.12426E+02
   247    0.50721E+03    0.58908E+00    0.12509E+02
   248    0.50221E+03    0.60336E+00    0.12588E+02
   249    0.49721E+03    0.61777E+00    0.12662E+02
   250    0.49218E+03    0.63229E+00    0.12733E+02
   251    0.48717E+03    0.64696E+00    0.12800E+02
   252    0.48214E+03    0.66173E+00    0.12862E+02
   253    0.47715E+03    0.67666E+00    0.12922E+02
   254    0.47215E+03    0.69169E+00    0.12977E+02
   255    0.46719E+03    0.70686E+00    0.13030E+02
   256    0.46224E+03    0.72213E+00    0.13078E+02
   257    0.45732E+03    0.73753E+00    0.13124E+02
   258    0.45242E+03    0.75303E+00    0.13165E+02
   259    0.44755E+03    0.76865E+00    0.13204E+02
   260    0.44270E+03    0.78434E+00    0.13238E+02
   261    0.43788E+03    0.80014E+00    0.13269E+02
   262    0.43308E+03    0.81601E+00    0.13296E+02
   263    0.42830E+03    0.83196E+00    0.13320E+02
   264    0.42354E+03    0.84796E+00    0.13339E+02
   265    0.41880E+03    0.86402E+00    0.13355E+02
   266    0.41408E+03    0.88011E+00    0.13365E+02
   267    0.40937E+03    0.89625E+00    0.13372E+02
   268    0.40468E+03    0.91242E+00    0.13375E+02
   269    0.39999E+03    0.92857E+00    0.13373E+02
   270    0.39533E+03    0.94477E+00    0.13367E+02
   271    0.39066E+03    0.96092E+00    0.13356E+02
   272    0.38603E+03    0.97710E+00    0.13341E+02
   273    0.38140E+03    0.99324E+00    0.13321E+02
   274    0.37680E+03    0.10094E+01    0.13297E+02
   275    0.37220E+03    0.10255E+01    0.13268E+02
   276    0.36764E+03    0.10415E+01    0.13235E+02
   277    0.36309E+03    0.10575E+01    0.13197E+02
   278    0.35857E+03    0.10735E+01    0.13156E+02
   279    0.35407E+03    0.10894E+01    0.13110E+02
   280    0.34961E+03    0.11053E+01    0.13060E+02
   281    0.34516E+03    0.11211E+01    0.13005E+02
   282    0.34076E+03    0.11368E+01    0.12947E+02
   283    0.33637E+03    0.11524E+01    0.12884E+02
   284    0.33203E+03    0.11680E+01    0.12817E+02
   285    0.32773E+03    0.11835E+01    0.12747E+02
   286    0.32345E+03    0.11988E+01    0.12672E+02
   287    0.31922E+03    0.12141E+01    0.12594E+02
   288    0.31501E+03    0.12292E+01    0.12511E+02
   289    0.31086E+03    0.12442E+01    0.12426E+02
   290    0.30674E+03    0.12591E+01    0.12335E+02
   291    0.30267E+03    0.12739E+01    0.12242E+02
   292    0.29863E+03    0.12885E+01    0.12145E+02
   293    0.29464E+03    0.13030E+01    0.12045E+02
   294    0.29070E+03    0.13173E+01    0.11940E+02
   295    0.28680E+03    0.13315E+01    0.11833E+02
   296    0.28295E+03    0.13455E+01    0.11722E+02
   297    0.27915E+03    0.13593E+01    0.11608E+02
   298    0.27539E+03    0.13730E+01    0.11490E+02
   299    0.27169E+03    0.13865E+01    0.11369E+02
   300    0.26802E+03    0.13998E+01    0.11245E+02
   301    0.26442E+03    0.14129E+01    0.11118E+02
   302    0.26085E+03    0.14257E+01    0.10988E+02
   303    0.25734E+03    0.14384E+01    0.10855E+02
   304    0.25387E+03    0.14508E+01    0.10718E+02
   305    0.25045E+03    0.14630E+01    0.10579E+02
   306    0.24709E+03    0.14750E+01    0.10437E+02
   307    0.24376E+03    0.14867E+01    0.10291E+02
   308    0.24049E+03    0.14982E+01    0.10143E+02
   309    0.23726E+03    0.15094E+01    0.99917E+01
   310    0.23408E+03    0.15204E+01    0.98380E+01
   311    0.23095E+03    0.15311E+01    0.96809E+01
   312    0.22786E+03    0.15415E+01    0.95217E+01
   313    0.22482E+03    0.15516E+01    0.93592E+01
   314    0.22184E+03    0.15614E+01    0.91947E+01
   315    0.21890E+03    0.15710E+01    0.90271E+01
   316    0.21601E+03    0.15802E+01    0.88576E+01
   317    0.21317E+03    0.15891E+01    0.86854E+01
   318    0.21038E+03    0.15978E+01    0.85114E+01
   319    0.20765E+03    0.16061E+01    0.83350E+01
   320    0.20497E+03    0.16141E+01    0.81568E+01
   321    0.20234E+03    0.16218E+01    0.79765E+01
   322    0.19977E+03    0.16291E+01    0.77948E+01
   323    0.19726E+03    0.16362E+01    0.76111E+01
   324    0.19480E+03    0.16429E+01    0.74261E+01
   325    0.19240E+03    0.16493E+01    0.72399E+01
   326    0.19005E+03    0.16553E+01    0.70518E+01
   327    0.18777E+03    0.16611E+01    0.68630E+01
   328    0.18554E+03    0.16664E+01    0.66727E+01
   329    0.18337E+03    0.16715E+01    0.64819E+01
   330    0.18126E+03    0.16762E+01    0.62897E+01
   331    0.17921E+03    0.16806E+01    0.60972E+01
   332    0.17722E+03    0.16846E+01    0.59036E+01
   333    0.17529E+03    0.16883E+01    0.57098E+01
   334    0.17341E+03    0.16916E+01    0.55151E+01
   335    0.17160E+03    0.16946E+01    0.53203E+01
   336    0.16984E+03    0.16972E+01    0.51248E+01
   337    0.16814E+03    0.16995E+01    0.49294E+01
   338    0.16650E+03    0.17014E+01    0.47334E+01
   339    0.16492E+03    0.17030E+01    0.45377E+01
   340    0.16339E+03    0.17042E+01    0.43416E+01
   341    0.16192E+03    0.17050E+01    0.41459E+01
   342    0.16050E+03    0.17055E+01    0.39501E+01
   343    0.15915E+03    0.17056E+01    0.37547E+01
   344    0.15785E+03    0.17054E+01    0.35594E+01
