#    L    TT             EE             TE          
   243    0.54333E+04    0.17866E+01    0.51038E+02
   244    0.54196E+04    0.18514E+01    0.52667E+02
   245    0.54052E+04    0.19182E+01    0.54290E+02
   246    0.53903E+04    0.19871E+01    0.55908E+02
   247    0.53749E+04    0.20581E+01    0.57519E+02
   248    0.53589E+04    0.21313E+01    0.59123E+02
   249    0.53425E+04    0.22066E+01    0.60720E+02
   250    0.53254E+04    0.22840E+01    0.62306E+02
   251    0.53080E+04    0.23635E+01    0.63885E+02
   252    0.52898E+04    0.24453E+01    0.65451E+02
   253    0.52714E+04    0.25292E+01    0.67010E+02
   254    0.52523E+04    0.26153E+01    0.68554E+02
   255    0.52330E+04    0.27035E+01    0.70089E+02
   256    0.52129E+04    0.27940E+01    0.71609E+02
   257    0.51926E+04    0.28866E+01    0.73117E+02
   258    0.51717E+04    0.29814E+01    0.74609E+02
   259    0.51504E+04    0.30785E+01    0.76089E+02
   260    0.51286E+04    0.31777E+01    0.77550E+02
   261    0.51065E+04    0.32791E+01    0.78998E+02
   262    0.50838E+04    0.33826E+01    0.80427E+02
   263    0.50608E+04    0.34884E+01    0.81840E+02
   264    0.50372E+04    0.35963E+01    0.83233E+02
   265    0.50133E+04    0.37065E+01    0.84609E+02
   266    0.49889E+04    0.38187E+01    0.85963E+02
   267    0.49642E+04    0.39331E+01    0.87299E+02
   268    0.49392E+04    0.40497E+01    0.88615E+02
   269    0.49135E+04    0.41684E+01    0.89906E+02
   270    0.48876E+04    0.42892E+01    0.91179E+02
   271    0.48612E+04    0.44120E+01    0.92424E+02
   272    0.48346E+04    0.45370E+01    0.93651E+02
   273    0.48075E+04    0.46640E+01    0.94849E+02
   274    0.47801E+04    0.47932E+01    0.96027E+02
   275    0.47523E+04    0.49243E+01    0.97177E+02
   276    0.47243E+04    0.50574E+01    0.98304E+02
   277    0.46958E+04    0.51925E+01    0.99401E+02
   278    0.46672E+04    0.53296E+01    0.10048E+03
   279    0.46381E+04    0.54686E+01    0.10152E+03
   280    0.46088E+04    0.56096E+01    0.10254E+03
   281    0.45792E+04    0.57523E+01    0.10353E+03
   282    0.45494E+04    0.58970E+01    0.10449E+03
   283    0.45192E+04    0.60435E+01    0.10542E+03
   284    0.44889E+04    0.61918E+01    0.10632E+03
   285    0.44584E+04    0.63420E+01    0.10720E+03
   286    0.44275E+04    0.64936E+01    0.10804E+03
   287    0.43965E+04    0.66472E+01    0.10885E+03
   288    0.43652E+04    0.68023E+01    0.10963E+03
   289    0.43338E+04    0.69591E+01    0.11038E+03
   290    0.43021E+04    0.71174E+01    0.11110E+03
   291    0.42704E+04    0.72773E+01    0.11178E+03
   292    0.42384E+04    0.74386E+01    0.11243E+03
   293    0.42064E+04    0.76016E+01    0.11305E+03
   294    0.41741E+04    0.77657E+01    0.11364E+03
   295    0.41418E+04    0.79315E+01    0.11419E+03
   296    0.41093E+04    0.80984E+01    0.11471E+03
   297    0.40768E+04    0.82667E+01    0.11519E+03
   298    0.40440E+04    0.84361E+01    0.11564E+03
   299    0.40113E+04    0.86068E+01    0.11605E+03
   300    0.39784E+04    0.87786E+01    0.11643E+03
   301    0.39455E+04    0.89515E+01    0.11678E+03
   302    0.39125E+04    0.91254E+01    0.11708E+03
   303    0.38795E+04    0.93004E+01    0.11736E+03
   304    0.38464E+04    0.94761E+01    0.11759E+03
   305    0.38133E+04    0.96529E+01    0.11779E+03
   306    0.37802E+04    0.98306E+01    0.11796E+03
   307    0.37469E+04    0.10009E+02    0.11808E+03
   308    0.37138E+04    0.10188E+02    0.11818E+03
   309    0.36805E+04    0.10367E+02    0.11823E+03
   310    0.36474E+04    0.10548E+02    0.11825E+03
   311    0.36141E+04    0.10728E+02    0.11822E+03
   312    0.35810E+04    0.10910E+02    0.11816E+03
   313    0.35478E+04    0.11091E+02    0.11807E+03
   314    0.35148E+04    0.11273E+02    0.11794E+03
   315    0.34817E+04    0.11455E+02    0.11776E+03
   316    0.34487E+04    0.11638E+02    0.11756E+03
   317    0.34158E+04    0.11821E+02    0.11731E+03
   318    0.33830E+04    0.12003E+02    0.11703E+03
   319    0.33502E+04    0.12186E+02    0.11671E+03
   320    0.33176E+04    0.12369E+02    0.11635E+03
   321    0.32851E+04    0.12551E+02    0.11596E+03
   322    0.32527E+04    0.12734E+02    0.11553E+03
   323    0.32205E+04    0.12916E+02    0.11506E+03
   324    0.31884E+04    0.13098E+02    0.11456E+03
   325    0.31565E+04    0.13280E+02    0.11402E+03
   326    0.31247E+04    0.13460E+02    0.11344E+03
   327    0.30931E+04    0.13641E+02    0.11283E+03
   328    0.30616E+04    0.13821E+02    0.11218E+03
   329    0.30305E+04    0.14000E+02    0.11150E+03
   330    0.29994E+04    0.14179E+02    0.11078E+03
   331    0.29686E+04    0.14357E+02    0.11003E+03
   332    0.29379E+04    0.14533E+02    0.10924E+03
   333    0.29076E+04    0.14710E+02    0.10842E+03
   334    0.28774E+04    0.14885E+02    0.10756E+03
   335    0.28475E+04    0.15059E+02    0.10667E+03
   336    0.28178E+04    0.15231E+02    0.10574E+03
   337    0.27884E+04    0.15403E+02    0.10479E+03
   338    0.27593E+04    0.15573E+02    0.10379E+03
   339    0.27304E+04    0.15743E+02    0.10277E+03
   340    0.27018E+04    0.15910E+02    0.10172E+03
   341    0.26735E+04    0.16076E+02    0.10063E+03
   342    0.26454E+04    0.16241E+02    0.99512E+02
   343    0.26177E+04    0.16404E+02    0.98365E+02
   344    0.25902E+04    0.16565E+02    0.97184E+02
   345    0.25631E+04    0.16725E+02    0.95976E+02
   346    0.25364E+04    0.16883E+02    0.94740E+02
   347    0.25098E+04    0.17038E+02    0.93469E+02
   348    0.24837E+04    0.17192E+02    0.92176E+02
   349    0.24578E+04    0.17344E+02    0.90848E+02
   350    0.24324E+04    0.17494E+02    0.89499E+02
   351    0.24072E+04    0.17641E+02    0.88117E+02
   352    0.23824E+04    0.17787E+02    0.86715E+02
   353    0.23580E+04    0.17930E+02    0.85280E+02
   354    0.23339E+04    0.18071E+02    0.83826E+02
   355    0.23102E+04    0.18209E+02    0.82343E+02
   356    0.22869E+04    0.18345E+02    0.80840E+02
   357    0.22639E+04    0.18479E+02    0.79308E+02
   358    0.22413E+04    0.18610E+02    0.77759E+02
   359    0.22191E+04    0.18738E+02    0.76182E+02
   360    0.21973E+04    0.18864E+02    0.74589E+02
   361    0.21759E+04    0.18986E+02    0.72970E+02
   362    0.21549E+04    0.19106E+02    0.71335E+02
   363    0.21342E+04    0.19223E+02    0.69676E+02
   364    0.21140E+04    0.19338E+02    0.68002E+02
   365    0.20942E+04    0.19449E+02    0.66306E+02
   366    0.20748E+04    0.19557E+02    0.64596E+02
   367    0.20558E+04    0.19663E+02    0.62870E+02
   368    0.20372E+04    0.19765E+02    0.61122E+02
   369    0.20190E+04    0.19864E+02    0.59364E+02
   370    0.20013E+04    0.19959E+02    0.57586E+02
   371    0.19839E+04    0.20052E+02    0.55798E+02
   372    0.19670E+04    0.20141E+02    0.53993E+02
   373    0.19506E+04    0.20227E+02    0.52180E+02
   374    0.19345E+04    0.20309E+02    0.50350E+02
   375    0.19189E+04    0.20389E+02    0.48513E+02
   376    0.19037E+04    0.20464E+02    0.46662E+02
   377    0.18889E+04    0.20536E+02    0.44805E+02
   378    0.18746E+04    0.20604E+02    0.42935E+02
   379    0.18607E+04    0.20670E+02    0.41061E+02
   380    0.18472E+04    0.20731E+02    0.39176E+02
   381    0.18341E+04    0.20789E+02    0.37287E+02
   382    0.18215E+04    0.20843E+02    0.35390E+02
   383    0.18094E+04    0.20893E+02    0.33490E+02
   384    0.17976E+04    0.20940E+02    0.31583E+02
   385    0.17863E+04    0.20983E+02    0.29676E+02
   386    0.17754E+04    0.21022E+02    0.27763E+02
   387    0.17650E+04    0.21058E+02    0.25850E+02
   388    0.17550E+04    0.21089E+02    0.23934E+02
   389    0.17454E+04    0.21117E+02    0.22019E+02
   390    0.17363E+04    0.21142E+02    0.20105E+02
   391    0.17275E+04    0.21161E+02    0.18189E+02
   392    0.17192E+04    0.21178E+02    0.16278E+02
   393    0.17113E+04    0.21190E+02    0.14367E+02
   394    0.17039E+04    0.21199E+02    0.12462E+02
   395    0.16969E+04    0.21203E+02    0.10559E+02
   396    0.16902E+04    0.21205E+02    0.86627E+01
   397    0.16840E+04    0.21201E+02    0.67700E+01
   398    0.16783E+04    0.21195E+02    0.48860E+01
   399    0.16729E+04    0.21183E+02    0.30072E+01
   400    0.16679E+04    0.21169E+02    0.11383E+01
   401    0.16634E+04    0.21150E+02   -0.72374E+00
   402    0.16592E+04    0.21128E+02   -0.25745E+01
   403    0.16555E+04    0.21101E+02   -0.44168E+01
   404    0.16521E+04    0.21071E+02   -0.62465E+01
   405    0.16491E+04    0.21037E+02   -0.80660E+01
   406    0.16466E+04    0.20999E+02   -0.98719E+01
   407    0.16444E+04    0.20957E+02   -0.11666E+02
   408    0.16426E+04    0.20912E+02   -0.13445E+02
   409    0.16411E+04    0.20862E+02   -0.15210E+02
   410    0.16401E+04    0.20810E+02   -0.16960E+02
   411    0.16394E+04    0.20753E+02   -0.18694E+02
   412    0.16391E+04    0.20692E+02   -0.20411E+02
   413    0.16391E+04    0.20628E+02   -0.22112E+02
   414    0.16395E+04    0.20561E+02   -0.23793E+02
   415    0.16403E+04    0.20489E+02   -0.25457E+02
   416    0.16414E+04    0.20414E+02   -0.27102E+02
   417    0.16428E+04    0.20336E+02   -0.28726E+02
   418    0.16446E+04    0.20253E+02   -0.30331E+02
   419    0.16467E+04    0.20168E+02   -0.31914E+02
   420    0.16491E+04    0.20079E+02   -0.33475E+02
   421    0.16519E+04    0.19987E+02   -0.35014E+02
