#    L    TT             EE             TE          
   232    0.22745E+04    0.57469E+00    0.11505E+02
   233    0.22804E+04    0.59452E+00    0.12085E+02
   234    0.22862E+04    0.61513E+00    0.12671E+02
   235    0.22916E+04    0.63654E+00    0.13260E+02
   236    0.22969E+04    0.65878E+00    0.13854E+02
   237    0.23019E+04    0.68183E+00    0.14452E+02
   238    0.23067E+04    0.70574E+00    0.15054E+02
   239    0.23112E+04    0.73051E+00    0.15659E+02
   240    0.23155E+04    0.75615E+00    0.16268E+02
   241    0.23195E+04    0.78268E+00    0.16879E+02
   242    0.23234E+04    0.81011E+00    0.17494E+02
   243    0.23269E+04    0.83846E+00    0.18111E+02
   244    0.23303E+04    0.86774E+00    0.18730E+02
   245    0.23333E+04    0.89797E+00    0.19351E+02
   246    0.23362E+04    0.92915E+00    0.19974E+02
   247    0.23388E+04    0.96130E+00    0.20597E+02
   248    0.23412E+04    0.99444E+00    0.21223E+02
   249    0.23433E+04    0.10286E+01    0.21849E+02
   250    0.23452E+04    0.10637E+01    0.22476E+02
   251    0.23469E+04    0.10999E+01    0.23103E+02
   252    0.23483E+04    0.11370E+01    0.23730E+02
   253    0.23495E+04    0.11753E+01    0.24357E+02
   254    0.23505E+04    0.12145E+01    0.24983E+02
   255    0.23513E+04    0.12549E+01    0.25609E+02
   256    0.23518E+04    0.12963E+01    0.26233E+02
   257    0.23521E+04    0.13388E+01    0.26856E+02
   258    0.23521E+04    0.13823E+01    0.27477E+02
   259    0.23520E+04    0.14270E+01    0.28096E+02
   260    0.23516E+04    0.14728E+01    0.28712E+02
   261    0.23510E+04    0.15197E+01    0.29326E+02
   262    0.23501E+04    0.15677E+01    0.29937E+02
   263    0.23491E+04    0.16168E+01    0.30545E+02
   264    0.23477E+04    0.16670E+01    0.31148E+02
   265    0.23462E+04    0.17184E+01    0.31748E+02
   266    0.23445E+04    0.17710E+01    0.32343E+02
   267    0.23425E+04    0.18246E+01    0.32935E+02
   268    0.23403E+04    0.18795E+01    0.33521E+02
   269    0.23379E+04    0.19354E+01    0.34101E+02
   270    0.23353E+04    0.19926E+01    0.34677E+02
   271    0.23324E+04    0.20509E+01    0.35245E+02
   272    0.23293E+04    0.21103E+01    0.35809E+02
   273    0.23260E+04    0.21709E+01    0.36364E+02
   274    0.23225E+04    0.22327E+01    0.36914E+02
   275    0.23188E+04    0.22956E+01    0.37456E+02
   276    0.23149E+04    0.23597E+01    0.37991E+02
   277    0.23107E+04    0.24249E+01    0.38517E+02
   278    0.23064E+04    0.24913E+01    0.39037E+02
   279    0.23019E+04    0.25588E+01    0.39547E+02
   280    0.22972E+04    0.26276E+01    0.40049E+02
   281    0.22922E+04    0.26974E+01    0.40541E+02
   282    0.22871E+04    0.27684E+01    0.41025E+02
   283    0.22818E+04    0.28404E+01    0.41498E+02
   284    0.22764E+04    0.29137E+01    0.41962E+02
   285    0.22708E+04    0.29881E+01    0.42417E+02
   286    0.22649E+04    0.30635E+01    0.42859E+02
   287    0.22590E+04    0.31401E+01    0.43292E+02
   288    0.22528E+04    0.32177E+01    0.43712E+02
   289    0.22465E+04    0.32965E+01    0.44123E+02
   290    0.22400E+04    0.33763E+01    0.44521E+02
   291    0.22334E+04    0.34572E+01    0.44908E+02
   292    0.22266E+04    0.35391E+01    0.45282E+02
   293    0.22197E+04    0.36221E+01    0.45645E+02
   294    0.22126E+04    0.37061E+01    0.45993E+02
   295    0.22054E+04    0.37911E+01    0.46330E+02
   296    0.21980E+04    0.38771E+01    0.46653E+02
   297    0.21906E+04    0.39642E+01    0.46963E+02
   298    0.21829E+04    0.40521E+01    0.47259E+02
   299    0.21752E+04    0.41410E+01    0.47542E+02
   300    0.21674E+04    0.42308E+01    0.47809E+02
   301    0.21594E+04    0.43216E+01    0.48063E+02
   302    0.21513E+04    0.44133E+01    0.48302E+02
   303    0.21431E+04    0.45058E+01    0.48526E+02
   304    0.21348E+04    0.45992E+01    0.48734E+02
   305    0.21264E+04    0.46934E+01    0.48928E+02
   306    0.21179E+04    0.47886E+01    0.49108E+02
   307    0.21093E+04    0.48843E+01    0.49268E+02
   308    0.21006E+04    0.49810E+01    0.49416E+02
   309    0.20918E+04    0.50783E+01    0.49544E+02
   310    0.20829E+04    0.51764E+01    0.49659E+02
   311    0.20739E+04    0.52751E+01    0.49754E+02
   312    0.20649E+04    0.53746E+01    0.49835E+02
   313    0.20558E+04    0.54746E+01    0.49897E+02
   314    0.20466E+04    0.55753E+01    0.49944E+02
   315    0.20374E+04    0.56765E+01    0.49972E+02
   316    0.20281E+04    0.57784E+01    0.49984E+02
   317    0.20187E+04    0.58808E+01    0.49977E+02
   318    0.20094E+04    0.59837E+01    0.49954E+02
   319    0.19999E+04    0.60870E+01    0.49912E+02
   320    0.19904E+04    0.61908E+01    0.49854E+02
   321    0.19809E+04    0.62950E+01    0.49776E+02
   322    0.19714E+04    0.63996E+01    0.49681E+02
   323    0.19618E+04    0.65045E+01    0.49568E+02
   324    0.19522E+04    0.66098E+01    0.49437E+02
   325    0.19427E+04    0.67154E+01    0.49290E+02
   326    0.19331E+04    0.68211E+01    0.49120E+02
   327    0.19235E+04    0.69272E+01    0.48936E+02
   328    0.19139E+04    0.70332E+01    0.48731E+02
   329    0.19043E+04    0.71396E+01    0.48510E+02
   330    0.18947E+04    0.72459E+01    0.48268E+02
   331    0.18852E+04    0.73525E+01    0.48010E+02
   332    0.18756E+04    0.74589E+01    0.47732E+02
   333    0.18661E+04    0.75656E+01    0.47437E+02
   334    0.18566E+04    0.76719E+01    0.47122E+02
   335    0.18472E+04    0.77785E+01    0.46791E+02
   336    0.18378E+04    0.78847E+01    0.46439E+02
   337    0.18285E+04    0.79909E+01    0.46071E+02
   338    0.18191E+04    0.80967E+01    0.45683E+02
   339    0.18099E+04    0.82026E+01    0.45279E+02
